,Year,Country,log_GDP,Misallignment,Residual
10,1979,1,8.28303,-0.133359,-0.0342828
11,1980,1,8.33115,-0.070005,0.0063543
12,1981,1,8.2627,-0.299228,-0.035037
13,1982,1,8.2452,-0.762127,0.002106
14,1983,1,8.18766,-0.817404,-0.0489088
15,1984,1,8.21685,-1.05028,0.007771
16,1985,1,8.27199,-1.47669,0.1132469
17,1986,1,8.32839,-2.57921,0.2997942
18,1987,1,8.34409,-3.5151,0.4259716
19,1988,1,8.3242,-3.21533,0.370694
20,1989,1,8.33836,-2.28912,0.2755199
21,1990,1,8.28947,0.132947,-0.0592834
22,1991,1,8.28783,-0.280321,-0.0121386
23,1992,1,8.26718,0.862907,-0.1677409
24,1993,1,8.29723,3.46524,-0.4448838
25,1994,1,8.33381,6.34857,-0.7486674
26,1995,1,8.36159,4.65334,-0.5207729
27,1996,1,8.36772,2.81469,-0.2976004
28,1997,1,8.38549,1.31435,-0.1027217
29,1998,1,8.37353,0.19691,0.0172267
30,1999,1,8.36308,0.135588,0.0140151
31,2000,1,8.39088,-0.40181,0.1052519
32,2001,1,8.38872,-0.483246,0.1127049
33,2002,1,8.40436,-0.511322,0.1316594
34,2003,1,8.40236,-0.411719,0.1179019
35,2004,1,8.44396,-0.425402,0.1611173
36,2005,1,8.46235,-0.536823,0.1926598
37,2006,1,8.48986,-0.585485,0.2259137
38,2007,1,8.5373,-0.620796,0.2775225
39,2008,1,8.57603,-0.593294,0.3130058
40,2009,1,8.5638,-0.462495,0.2853357
41,2010,1,8.62711,-0.554974,0.359562
42,2011,1,8.65599,-0.555269,0.388477
43,2012,1,8.66411,-0.397448,0.3779676
44,2013,1,8.68204,-0.292329,0.3834888
45,2014,1,8.67462,-0.233838,0.3691636
46,1970,2,4.9733,-1.62333,-1.275114
47,1971,2,5.01349,-1.69135,-1.226896
48,1972,2,5.02622,-1.80533,-1.200719
49,1973,2,5.07942,-1.94087,-1.131518
50,1974,2,5.0815,-1.95624,-1.127624
51,1975,2,5.14725,-2.00473,-1.056142
52,1976,2,5.11565,-1.94882,-1.094345
53,1977,2,5.17527,-1.92123,-1.03798
54,1978,2,5.27417,-1.92287,-0.9388931
55,1979,2,5.33408,-1.91421,-0.8800041
56,1980,2,5.39671,-1.78111,-0.8330847
57,1981,2,5.43432,-1.65349,-0.8105396
58,1982,2,5.50593,-1.47898,-0.7595291
59,1983,2,5.5936,-1.33539,-0.6888094
60,1984,2,5.72204,-1.01011,-0.5987668
61,1985,2,5.83553,-0.61977,-0.5313548
62,1986,2,5.90615,-0.305683,-0.4978111
63,1987,2,6.00094,-0.062757,-0.4316974
64,1988,2,6.0919,0.054298,-0.3545551
65,1989,2,6.11785,-0.021898,-0.3196106
