"","Years","LnRgdp_Algeria","LnEnergy_Algeria","res_Algeria","LnRgdp_Angola","LnEnergy_Angola","res_Angola","LnRgdp_Egypt","LnEnergy_Egypt","res_Egypt","LnRgdp_Gabon","LnEnergy_Gabon","res_Gabon","LnRgdp_Nigeria","LnEnergy_Nigeria","res_Nigeria","LnRgdp_Rcongo","LnEnery_RCongo","res_Congo"
"1",1980,8.200738461,0.547319410110567,0.49496120591023,8.064491811,-0.461364536793523,-0.321186996317952,7.005163257,0.529785993966431,-0.249739489684285,9.408121807,-0.580230305419006,-0.712432364774114,7.630456407,0.430705701144363,0.94232174821338,7.75209878,0.108091125192478,-0.153924103347268
"2",1981,8.199425725,0.519118226648797,0.510228821344613,7.984258282,-0.483148845394071,-0.380514891136753,7.051188734,0.555343260759841,-0.132954642420517,9.432844519,-0.769882210643967,-0.613590752366878,7.46262841,0.472535069019143,0.874799249882311,7.885178739,0.031116774928051,-0.257967785302774
"3",1982,8.230244184,0.582238929755295,0.5337639398912,7.948727862,-0.421423872261913,-0.424269440819849,7.120323104,0.572957084851469,0.0219698188807594,9.375879386,-0.639362496586724,-0.582413550594771,7.366166981,0.471388601318001,0.8559809553604,8.06783889,0.0638949139209365,-0.405031722717739
"4",1983,8.251601324,0.596655490776205,0.638670597367332,7.954196695,-0.337433304521211,-0.288354860047971,7.144241421,0.594238067041018,0.165698324767675,9.404434855,-1.42950864073216,-0.470318765816783,7.225146628,0.472505409109995,0.425771935926803,8.095674918,0.126294634940241,-0.471467232197057
"5",1984,8.275213346,0.606577823337864,0.643112190896737,7.976825465,-0.44083061365191,-0.361279413322225,7.211039995,0.607708520907007,0.153182456411769,9.450340254,-1.33429400374615,-0.420299015203873,7.188639297,0.486033930934773,0.509998027173548,8.134382523,0.0886639182006632,-0.524714245955953
"6",1985,8.281316416,0.593497781837582,0.5787431555907,7.975746835,-0.246895026634509,-0.293291646770165,7.240800221,0.615642668718794,-0.071212362400552,9.399784006,-0.769882210643967,-0.446846319211166,7.220461616,0.499278755402548,0.77822697840128,8.094158641,-0.0930966997562118,-0.545619805610094
"7",1986,8.255838817,0.596801079498507,0.551939989422572,7.969015241,-0.235965060269504,-0.296208065105264,7.260241462,0.619061017738262,-0.117486356364148,9.364358472,-0.580230305419006,-0.428653094791106,7.195037271,0.496192941339937,0.867083813090052,7.995208874,-0.0096784442962187,-0.576676286252102
"8",1987,8.220144724,0.60691154221581,0.604737831122502,7.973889141,-0.214806059333199,-0.195394983764408,7.270765115,0.624723637828094,-0.146782363345839,9.148631976,-0.846619484012126,-0.332635567453653,7.200283092,0.505618638603921,0.553475178577596,7.969572178,-0.136281130207063,-0.483400095136198
"9",1988,8.18233565,0.616002930585438,0.569276955738771,7.998550427,-0.195404365476668,-0.161435857097926,7.297226497,0.626150657689268,-0.0897114097333605,9.241715969,-1.16904966182404,-0.308992140611763,7.244748808,0.517681272616504,0.425445870017515,7.959758024,-0.0314444910543885,-0.434583418313236
"10",1989,8.198644956,0.610846922576442,0.589977660680292,7.964621535,-0.204948680522722,-0.193931281062046,7.319580121,0.630848130208054,-0.123147446422137,9.296006928,-1.25876924394562,-0.275605397667881,7.2376344,0.531640493555571,0.427128307026853,7.958150239,-0.090335013659919,-0.424421842555082
