y1,misal1,ect1,y2,misal2,ect2,y3,misal3,ect3,y4,misal4,ect4,y5,misal5,ect5,y6,misal6,ect6,y7,misal7,ect7,y8,misal8,ect8,y9,misal9,ect9,y10,misal10,ect10,y11,misal11,ect11,y12,misal12,ect12,y13,misal13,ect13,y14,misal14,ect14
8.2452,-0.762127,0.002106,5.50593,-1.47898,-0.7595291,6.58908,-0.571891,-0.1032462,6.29795,-0.563963,-0.321413,7.04424,-0.812947,-0.159813,6.07985,-0.012823,-0.2012717,8.5831,-0.320002,0.0838882,6.91274,0.151686,-0.4928136,8.25219,0.029705,-0.3018658,8.43737,-0.476277,-0.0735084,5.72476,-0.147003,-0.400612,7.82336,-0.106216,-0.3085079,8.85325,-0.920117,0.1363096,7.02524,-0.307513,0.0799126
8.18766,-0.817404,-0.0489088,5.5936,-1.33539,-0.6888094,6.63458,-0.692917,-0.0434594,6.36684,-0.332866,-0.2798027,7.02797,-0.84143,-0.172721,6.112,0.02679,-0.173798,8.53973,-0.403712,0.0503995,6.94863,0.085891,-0.4491571,8.27761,-0.117629,-0.2590536,8.45963,-0.769818,-0.0166043,5.77201,-0.116913,-0.3569142,7.85796,-0.15714,-0.2678963,8.78877,-0.191073,-0.0142303,7.01649,-0.220862,0.060934
8.21685,-1.05028,0.007771,5.72204,-1.01011,-0.5987668,6.66727,-0.827905,0.0051654,6.39379,-0.33301,-0.2528358,7.06537,-0.729885,-0.1484881,6.12814,0.003846,-0.1549495,8.56297,-0.273871,0.0583125,6.98635,0.010483,-0.4025354,8.32019,-0.015969,-0.2284735,8.4658,0.315402,-0.138535,5.78663,-0.098742,-0.3444389,7.90586,-0.211152,-0.2136208,8.80304,-0.169284,-0.0025326,6.91324,0.272349,-0.1005372
8.27199,-1.47669,0.1132469,5.83553,-0.61977,-0.5313548,6.70426,-0.986819,0.060914,6.41336,-0.441587,-0.2204484,7.09519,-0.675469,-0.1250916,6.16843,0.03057,-0.1178143,8.51859,0.038648,-0.022959,7.01363,0.056464,-0.3806834,8.34036,-0.068626,-0.2020883,8.37138,1.62609,-0.3876703,5.81531,-0.143056,-0.310528,7.86685,-0.255803,-0.24736,8.80771,-0.145709,-0.0006453,6.81032,0.262638,-0.2023109
8.32839,-2.57921,0.2997942,5.90615,-0.305683,-0.4978111,6.70293,-0.96236,0.0566969,6.45522,-0.365261,-0.1875982,7.16575,-0.652149,-0.0572844,6.18951,0.005559,-0.0937819,8.49271,0.093904,-0.0553616,7.04918,0.01984,-0.34081,8.38782,-0.20627,-0.1383795,8.4319,-0.572654,-0.0676075,5.83982,-0.158848,-0.2841539,7.84971,-0.191562,-0.2720832,8.74876,0.529578,-0.1393091,6.81703,0.184218,-0.1863437
8.34409,-3.5151,0.4259716,6.00094,-0.062757,-0.4316974,6.70011,-0.988629,0.0569778,6.48459,-0.166306,-0.1817141,7.13246,-0.695806,-0.0854208,6.22005,-0.023897,-0.0597649,8.4973,-0.04434,-0.0344525,7.12185,-0.028859,-0.2623914,8.45907,-0.403294,-0.0438718,8.44549,-2.48969,0.1722817,5.8569,-0.186689,-0.2637871,7.87293,-0.212359,-0.2464081,8.74669,1.35855,-0.239235,6.83256,0.037894,-0.1535408
8.3242,-3.21533,0.370694,6.0919,0.054298,-0.3545551,6.72446,-1.07455,0.0914709,6.53583,-0.208025,-0.1255494,7.22774,-0.74159,0.0152634,6.2623,-0.04217,-0.0153576,8.51736,-0.014085,-0.0179644,7.22909,-0.055673,-0.1519859,8.46347,-0.19777,-0.0637327,8.40473,-3.11836,0.2057299,5.92738,-0.183412,-0.193694,7.93826,-0.138511,-0.1897956,8.73877,1.81668,-0.301236,6.87153,0.001491,-0.1102736
8.33836,-2.28912,0.2755199,6.11785,-0.021898,-0.3196106,6.74688,-0.914655,0.0950156,6.60536,-0.275751,-0.0480247,7.23653,-0.778252,0.0283811,6.2805,0.012229,-0.0035792,8.51852,0.038229,-0.0229792,7.32824,-0.06995,-0.0511508,8.44849,-0.237395,-0.0740355,8.31219,1.51575,-0.4338374,5.96407,-0.173386,-0.1581879,7.99604,-0.095088,-0.1371416,8.75968,1.31543,-0.2211556,6.90579,-0.059219,-0.0688473
8.28947,0.132947,-0.0592834,6.14176,0.094745,-0.3094697,6.77789,-0.381796,0.0631245,6.67227,-0.37182,0.0302256,7.24526,-0.791263,0.038647,6.29511,-0.021332,0.0149928,8.49225,-0.045553,-0.0393591,7.4204,-0.130881,0.0482019,8.51977,-0.473717,0.0251407,8.27356,4.19454,-0.7886831,5.99719,-0.193365,-0.1227093,8.05424,-0.132852,-0.0744834,8.78897,0.969936,-0.1510814,6.91026,-0.059154,-0.0643846
8.28783,-0.280321,-0.0121386,6.21675,0.148985,-0.2408821,6.76596,0.266037,-0.0252791,6.64223,-0.438517,0.008059,7.29963,-0.704172,0.0827368,6.31675,-0.008827,0.0351564,8.4729,-0.064773,-0.0564403,7.49122,-0.175457,0.1242838,8.51014,-0.515114,0.0203982,8.37877,3.97023,-0.6569959,5.98734,0.007277,-0.1562441,8.11839,-0.125469,-0.011205,8.81023,0.64712,-0.0917144,6.87955,0.042502,-0.1070949
8.26718,0.862907,-0.1677409,6.33794,0.086195,-0.11228,6.7882,0.258665,-0.0021691,6.70604,-0.533985,0.0831384,7.25222,-0.706661,0.0356206,6.36439,-0.037157,0.0861406,8.43468,-0.092737,-0.0913596,7.55964,-0.228589,0.1989758,8.54299,-0.519146,0.0537234,8.47777,2.45915,-0.3796204,6.02072,0.080573,-0.1315163,8.17741,-0.195178,0.0560438,8.8259,0.283493,-0.0331202,6.85852,-0.107778,-0.110385
8.29723,3.46524,-0.4448838,6.45693,0.007048,0.0160528,6.79686,0.176845,0.0161496,6.85495,-0.644736,0.2451221,7.22484,-0.725453,0.0104589,6.35606,-0.076562,0.0824622,8.42867,-0.072652,-0.0997406,7.63071,-0.287287,0.2769749,8.60078,-0.76179,0.1401561,8.52171,0.832105,-0.1436163,6.04745,0.127671,-0.1103459,8.24626,-0.205663,0.126131,8.84596,-0.116363,0.0341404,6.85553,-0.136021,-0.1100413
8.33381,6.34857,-0.7486674,6.56854,0.346575,0.0875833,6.81663,0.055766,0.050212,6.92356,-0.821738,0.3346265,7.31718,-0.800756,0.111688,6.36747,-0.111858,0.0980384,8.44115,-0.11659,-0.0820742,7.69935,-0.374561,0.3559169,8.53721,-0.176505,0.0074971,8.56541,-0.680204,0.0786016,6.0925,0.059237,-0.0572175,8.30906,-0.265274,0.1959683,8.87279,-0.436449,0.0987558,6.87497,-0.280351,-0.0735636
8.36159,4.65334,-0.5207729,6.66197,0.316702,0.1845397,6.84323,0.079092,0.0740585,6.98605,-0.942994,0.4114301,7.2363,-0.748983,0.0246964,6.39084,-0.122574,0.1226737,8.44913,-0.146819,-0.0705255,7.76821,-0.395103,0.4272019,8.59731,-0.183036,0.0683677,8.52399,-1.61083,0.1470347,6.14631,0.064639,-0.0040455,8.37743,-0.30365,0.2688683,8.79463,0.169841,-0.050974,6.89758,-0.350475,-0.0426757
8.36772,2.81469,-0.2976004,6.74612,0.266062,0.2746673,6.87349,0.021604,0.1111046,7.04729,-1.15283,0.4974404,7.34799,-0.665391,0.1265187,6.41321,-0.056999,0.1373028,8.46633,-0.068804,-0.0625352,7.81291,-0.424333,0.4753524,8.65275,-0.106567,0.1147807,8.56571,-1.88053,0.2205976,6.20011,0.099264,0.0456673,8.44726,-0.330864,0.3419106,8.83331,0.323745,-0.0304616,6.93172,-0.422997,0.0000249
8.38549,1.31435,-0.1027217,6.82414,0.204456,0.3599597,6.90889,-0.069249,0.1572293,7.07555,-1.24061,0.5360625,7.31394,-0.578871,0.0822555,6.39857,0.033301,0.1120035,8.4692,-0.076955,-0.0587025,7.77393,-0.260296,0.4170087,8.71007,0.058293,0.1526394,8.63207,-1.84706,0.2830069,6.22107,0.055853,0.0717516,8.49252,-0.282042,0.3814079,8.88265,0.273625,0.024795,6.96005,-0.430117,0.0291956
8.37353,0.19691,0.0172267,6.89015,0.144685,0.4330254,6.93057,-0.141615,0.1874522,6.88656,0.050862,0.1946203,7.37777,-0.514955,0.1385404,6.39946,0.043928,0.1116387,8.44904,0.039307,-0.0925864,7.68293,-0.049955,0.3011789,8.71726,0.221105,0.140611,8.65854,-1.83272,0.3077831,6.26262,0.189004,0.0975839,8.39117,-0.03524,0.2509234,8.91132,0.32737,0.04712,6.93242,-0.197438,-0.0259013
8.36308,0.135588,0.0140151,6.95491,0.258333,0.4843695,6.97194,0.555368,0.1465467,6.86067,-0.241089,0.2031937,7.37085,1.02734,-0.05044,6.41187,0.089561,0.1186622,8.44833,0.393997,-0.1351663,7.7159,-0.127017,0.3432456,8.66765,1.04936,-0.006771,8.61295,-1.40741,0.2119827,6.32927,0.293674,0.151878,8.42685,0.003761,0.2820003,8.92137,0.499027,0.0369066,6.94119,-0.213036,-0.01529
8.39088,-0.40181,0.1052519,7.02796,0.384484,0.542528,7.00619,0.481591,0.1895055,6.87746,-0.397755,0.2384773,7.37511,1.08127,-0.0525454,6.43097,0.094153,0.1372203,8.46507,0.433728,-0.1231165,7.74795,-0.081921,0.3699725,8.71815,1.00241,0.0492715,8.59392,-1.27861,0.1777482,6.34924,0.2657,0.1751502,8.48918,-0.001669,0.3449705,8.95786,0.395104,0.0856646,6.96299,-0.168629,0.001268
8.38872,-0.483246,0.1127049,7.10042,0.503899,0.6008918,7.02259,0.52203,0.2011321,6.88103,-0.359344,0.2375131,7.437,1.14442,0.0018893,6.42891,0.154675,0.1280156,8.46406,0.577742,-0.1411265,7.77036,-0.022345,0.3853498,8.6447,1.35468,-0.0657625,8.53771,-1.21528,0.1140698,6.37903,0.246377,0.2072216,8.47321,-0.040173,0.3335464,8.93797,0.285658,0.0786944,6.97029,-0.112808,0.001979
8.40436,-0.511322,0.1316594,7.18073,0.665671,0.6621053,7.02739,0.584421,0.198567,6.89963,-0.525687,0.275749,7.45922,1.175,0.0204994,6.4397,0.016554,0.1551104,8.49227,0.770725,-0.1356966,7.81872,-0.061451,0.4383259,8.68992,1.26016,-0.009384,8.41127,0.152701,-0.1738534,6.39944,0.236672,0.2287768,8.50581,-0.015609,0.3632462,8.92653,0.251845,0.0712456,6.9851,-0.157755,0.0220944
8.40236,-0.411719,0.1179019,7.26999,0.881193,0.7259241,7.04012,0.829293,0.1823913,7.02443,-0.656299,0.4159669,7.51036,1.12484,0.07756,6.46658,-0.094487,0.1950981,8.50645,0.431883,-0.0815188,7.87759,-0.066264,0.4977643,8.72699,0.986743,0.0599607,8.48493,0.176087,-0.1029569,6.45857,0.15941,0.2970274,8.54311,0.025015,0.3957509,8.92832,0.318327,0.0651878,7.01318,-0.134091,0.0473809
8.44396,-0.425402,0.1611173,7.36005,1.13151,0.7864355,7.06173,0.905859,0.1949628,7.05246,-0.626821,0.4405175,7.54715,1.10186,0.1170635,6.5174,-0.136069,0.2508265,8.54506,0.206811,-0.0163397,7.92957,-0.070694,0.5502672,8.80276,0.617335,0.1793378,8.5605,0.237834,-0.0346825,6.51866,0.081685,0.3662926,8.59031,0.05297,0.4396511,8.95765,0.325482,0.0936735,7.05862,-0.10288,0.0891368
8.46235,-0.536823,0.1926598,7.4617,1.32451,0.8653032,7.08735,0.767172,0.2369541,7.09174,-0.465368,0.4607387,7.56619,1.10263,0.1360119,6.57093,-0.169606,0.3083156,8.58293,0.119157,0.031877,7.9636,-0.041505,0.5808516,8.87027,0.292733,0.2851652,8.63779,0.400935,0.0233586,6.59167,-0.005645,0.4496114,8.6241,0.07855,0.4704211,8.97385,0.248169,0.1189999,7.08719,-0.103481,0.117778
8.48986,-0.585485,0.2259137,7.57557,1.4828,0.9604879,7.13593,0.697318,0.2937801,7.13813,-0.346694,0.49312,7.63037,1.11101,0.1992039,6.61043,-0.236894,0.3557584,8.62382,0.120654,0.0725909,8.00738,-0.073288,0.6283828,8.92457,0.162069,0.3548897,8.70797,0.561548,0.0745818,6.66487,-0.025002,0.5250961,8.66051,0.082917,0.5063161,9.00733,0.208434,0.1571701,7.12158,-0.152203,0.1579192
8.5373,-0.620796,0.2775225,7.70308,1.66071,1.066996,7.18711,0.645043,0.3511309,7.18872,-0.122646,0.5172623,7.64627,1.07472,0.2193873,6.63712,-0.320365,0.3923018,8.6486,0.14314,0.0947159,8.0576,-0.152198,0.6879182,8.95847,-0.046472,0.4134072,8.77427,0.644439,0.1310993,6.74334,-0.159851,0.6194845,8.70395,0.04953,0.553697,9.02342,0.182829,0.1762831,7.1701,-0.237041,0.216454
8.57603,-0.593294,0.3130058,7.78984,1.77581,1.140169,7.23868,0.626188,0.4049266,7.24114,0.293029,0.5206135,7.69258,1.04071,0.2697125,6.63337,-0.174676,0.3713539,8.66736,0.319145,0.0927001,8.07321,-0.135533,0.7015607,8.95319,-0.115993,0.4163333,8.79431,0.658394,0.1494838,6.76688,-0.14521,0.6412963,8.73382,0.076178,0.5804214,9.02105,0.174907,0.1748483,7.19593,-0.189776,0.2367045
8.5638,-0.462495,0.2853357,7.87318,1.86578,1.212888,7.26607,0.576751,0.4381524,7.27361,0.785494,0.4949507,7.72231,1.02875,0.3008543,6.64051,-0.098987,0.3695595,8.64576,0.301518,0.0731801,8.06437,-0.120196,0.6909106,8.89077,-0.040473,0.3449987,8.78454,0.559734,0.1513627,6.83408,-0.058942,0.698313,8.70167,0.131494,0.5417414,8.95655,0.361652,0.0883032,7.19257,-0.057693,0.2177529
8.62711,-0.554974,0.359562,7.96939,2.05719,1.286503,7.2965,0.523398,0.4748808,7.32896,1.23816,0.4968651,7.7472,1.02762,0.3258765,6.63552,-0.129749,0.3682006,8.66186,0.088395,0.1144391,8.13459,-0.163945,0.766295,8.96377,-0.119988,0.427385,8.86451,0.686337,0.2163853,6.91801,-0.127434,0.7903281,8.75686,0.069997,0.6041909,8.99193,0.263389,0.135283,7.25099,-0.052504,0.2755601
8.65599,-0.555269,0.388477,8.05521,2.21706,1.353452,7.29349,0.511033,0.4733301,7.37316,1.90534,0.4623085,7.785,0.979795,0.3693225,6.64153,-0.205177,0.3831146,8.67392,0.096718,0.1255158,8.13974,-0.161639,0.7711727,9.03565,-0.03589,0.489338,8.9346,0.739142,0.2802423,6.969,-0.137513,0.8425075,8.79245,0.055739,0.6414641,9.01575,0.195897,0.16707,7.27134,-0.016618,0.291674
8.66411,-0.397448,0.3779676,8.12499,2.30986,1.412277,7.29307,0.413985,0.484366,7.41975,2.72131,0.4125777,7.8007,0.982556,0.3846969,6.65479,-0.248986,0.4015459,8.67926,0.125658,0.1274402,8.20651,-0.135236,0.8348255,9.04448,-0.000851,0.4940318,8.93208,0.683996,0.284239,7.00571,-0.043688,0.8681422,8.83014,0.05298,0.6794799,9.04127,0.200373,0.1920619,7.32012,-0.005002,0.3390826
8.68204,-0.292329,0.3834888,8.19408,2.37602,1.473557,7.29139,0.470944,0.4759624,7.46066,3.61384,0.3481289,7.83265,0.957498,0.4196048,6.67634,-0.314765,0.430861,8.687,0.211996,0.1249884,8.22995,-0.180433,0.8636011,9.07333,0.036385,0.5184858,8.95006,0.832402,0.2846953,7.05991,0.027822,0.9139005,8.86104,0.043487,0.7115005,9.04154,0.115495,0.2023512,7.37224,0.016293,0.3886891
8.67462,-0.233838,0.3691636,8.25918,2.46707,1.52791,7.29096,0.433208,0.4799869,7.49536,4.54347,0.2730899,7.84251,0.938866,0.4316643,6.7016,-0.464489,0.4737951,8.686,0.290697,0.1146977,8.23451,-0.150468,0.8646244,9.08984,0.172435,0.5189359,8.94425,1.23745,0.2310768,7.11798,0.008106,0.9742981,8.90453,0.069524,0.7519165,9.05039,0.100896,0.2129247,7.41582,0.095871,0.4228754
