"","LnRgdp_Algeria","LnEnergy_Algeria","res_Algeria","LnRgdp_Angola","LnEnergy_Angola","res_Angola","LnRgdp_Egypt","LnEnergy_Egypt","res_Egypt","LnRgdp_Gabon","LnEnergy_Gabon","res_Gabon","LnRgdp_Nigeria","LnEnergy_Nigeria","res_Nigeria","LnRgdp_Rcongo","LnEnery_RCongo","res_Congo"
"1",8.200738461,0.547319410110567,0.503051573,8.064491811,-0.461364536793523,-0.081039603,7.005163257,0.529785993966431,-0.71032342,9.408121807,-0.580230305419006,1.139720038,7.630456407,0.430705701144363,-0.174686192,7.75209878,0.108091125192478,-0.676722397
"2",8.199425725,0.519118226648797,0.467949748,7.984258282,-0.483148845394071,-0.169663131,7.051188734,0.555343260759841,-0.643602828,9.432844519,-0.769882210643967,1.176080227,7.46262841,0.472535069019143,-0.312278649,7.885178739,0.031116774928051,-0.518485367
"3",8.230244184,0.582238929755295,0.537415776,7.948727862,-0.421423872261913,-0.223596583,7.120323104,0.572957084851469,-0.582693116,9.375879386,-0.639362496586724,1.08101301,7.366166981,0.471388601318001,-0.436804143,8.06783889,0.0638949139209365,-0.375334944
"4",8.251601324,0.596655490776205,0.566228184,7.954196695,-0.337433304521211,-0.213264098,7.144241421,0.594238067041018,-0.543881492,9.404434855,-1.42950864073216,1.158855046,7.225146628,0.472505409109995,-0.585580421,8.095674918,0.126294634940241,-0.382357219
"5",8.275213346,0.606577823337864,0.571591268,7.976825465,-0.44083061365191,-0.236755975,7.211039995,0.607708520907007,-0.491265496,9.450340254,-1.33429400374615,1.153186629,7.188639297,0.486033930934773,-0.639565226,8.134382523,0.0886639182006632,-0.3571912
"6",8.281316416,0.593497781837582,0.553653758,7.975746835,-0.246895026634509,-0.212939991,7.240800221,0.615642668718794,-0.461207136,9.399784006,-0.769882210643967,1.068525768,7.220461616,0.499278755402548,-0.604501058,8.094158641,-0.0930966997562118,-0.34353134
"7",8.255838817,0.596801079498507,0.566674319,7.969015241,-0.235965060269504,-0.182596952,7.260241462,0.619061017738262,-0.402960499,9.364358472,-0.580230305419006,1.050744756,7.195037271,0.496192941339937,-0.598069428,7.995208874,-0.0096784442962187,-0.433792196
"8",8.220144724,0.60691154221581,0.569985542,7.973889141,-0.214806059333199,-0.145705472,7.270765115,0.624723637828094,-0.358289548,9.148631976,-0.846619484012126,0.884746986,7.200283092,0.505618638603921,-0.55659276,7.969572178,-0.136281130207063,-0.39414475
"9",8.18233565,0.616002930585438,0.517202492,7.998550427,-0.195404365476668,-0.14224505,7.297226497,0.626150657689268,-0.355756507,9.241715969,-1.16904966182404,0.967289836,7.244748808,0.517681272616504,-0.526174836,7.959758024,-0.0314444910543885,-0.460315936
"10",8.198644956,0.610846922576442,0.509071102,7.964621535,-0.204948680522722,-0.196746228,7.319580121,0.630848130208054,-0.346055527,9.296006928,-1.25876924394562,1.033846549,7.2376344,0.531640493555571,-0.53786762,7.958150239,-0.090335013659919,-0.462248275
"11",8.180948129,0.618326270835194,0.488323898,7.895726468,-0.18615602796918,-0.273136896,7.350432674,0.638710036220689,-0.317418275,9.319102396,-1.25308565222276,1.045211369,7.323177319,0.526977910868839,-0.468861241,7.940754692,-0.15464412358114,-0.474118855
"12",8.144272715,0.631001327835285,0.47349768,7.872344626,-0.159701995799022,-0.283482482,7.338901129,0.638806411399634,-0.322266689,9.351114845,-1.12140302134505,1.088036541,7.301296243,0.543571449142337,-0.467443267,7.936985335,-0.0917155372405626,-0.488341783
"13",8.138608545,0.625103932641641,0.480339467,7.7793875,-0.127919747771967,-0.348530318,7.361261064,0.638126111597314,-0.281083914,9.292635311,-1.02632886590081,1.053066584,7.321353887,0.546812552156003,-0.424385268,7.935225961,-0.0614751079088644,-0.479406552
"14",8.095168731,0.613519566006038,0.495999799,7.472699702,-0.143526303969738,-0.586409716,7.369373852,0.646042902777352,-0.190163827,9.304574519,-1.24747108681499,1.129994149,7.275760789,0.549185460937411,-0.394601964,7.897686731,-0.0273601383155915,-0.45481844
"15",8.065419188,0.61815460132895,0.4976647,7.453747254,-0.159701995799022,-0.583569319,7.388247461,0.65067768607955,-0.139507001,9.314696784,-1.02632886590081,1.173972397,7.232509123,0.537668486602085,-0.423737049,7.813272181,0.00663204338476879,-0.524823728
"16",8.08361869,0.623919445406657,0.48917955,7.561340088,-0.113414765599595,-0.497380083,7.413560321,0.653850869875165,-0.143736763,9.337383511,-1.40542430920279,1.151276289,7.206881615,0.556640741172914,-0.46335611,7.824186001,-0.0273601383155915,-0.535982884
"17",8.1062672,0.62021576884189,0.474233567,7.6562189,-0.143526303969738,-0.443705481,7.442111865,0.664532302485217,-0.134534232,9.347504159,-1.12565847221132,1.136043184,7.223098724,0.559890814159679,-0.476858287,7.837696419,-0.0287213791898364,-0.555178751
"18",8.10105331,0.613679100123314,0.446247218,7.69426529,-0.0799169146862392,-0.403069207,7.475492286,0.669456593647349,-0.109701178,9.378119194,-0.948084691758615,1.159406541,7.227154018,0.560088748173488,-0.487603634,7.802605803,-0.0287213791898364,-0.60527974
"19",8.135789277,0.619074834944635,0.477786094,7.707817766,-0.135462796186525,-0.414604857,7.509789957,0.67345718196079,-0.079702805,9.387451712,-1.12565847221132,1.151383331,7.227727856,0.553182320855226,-0.503896076,7.810299965,0.0392924406265481,-0.630965686
"20",8.153125272,0.61869193387596,0.519470118,7.696907852,-0.0734896736221771,-0.383313091,7.548893119,0.678593373261446,-0.008931187,9.26940519,-2.25766748323202,1.041836253,7.208585534,0.553607910127444,-0.497788877,7.755158848,0.0652659481273247,-0.671273216
