Country,Year,lnrgdp,lnec2,residual
Egypt,2009,7.850013907,2.200135839,0.050028339
Egypt,2010,7.880358289,2.212051921,0.034193379
Egypt,2011,7.876710565,2.225887111,0.017659565
Egypt,2012,7.876581533,2.264068971,-0.008045017
Egypt,2013,7.875522089,2.254302109,-0.037284587
Egypt,2014,7.881669428,2.248346855,-0.03890912
Egypt,2015,7.902391279,2.255616532,-0.024363003
Egypt,2016,7.923489455,2.252763315,0.017187652
Egypt,2017,7.943541357,2.252251173,0.059649373
Garbon,1980,9.408121807,-0.15667091,1.139720037
Garbon,1981,9.432844519,-0.107215805,1.176080227
Garbon,1982,9.375879386,-0.139196013,1.08101301
Garbon,1983,9.404434855,0.028662533,1.158855046
Garbon,1984,9.450340254,-0.034675039,1.153186629
Garbon,1985,9.399784006,-0.107215805,1.068525768
Garbon,1986,9.364358472,-0.15667091,1.050744756
Garbon,1987,9.148631976,-0.091961419,0.884746986
Garbon,1988,9.241715969,-0.04825545,0.967289836
Garbon,1989,9.296006928,0.040328952,1.033846548
Garbon,1990,9.319102396,0.040789993,1.045211369
Garbon,1991,9.351114845,0.053080098,1.088036541
Garbon,1992,9.292635311,0.064196607,1.053066584
Garbon,1993,9.304574519,0.041250611,1.129994149
Garbon,1994,9.314696784,0.064196607,1.173972397
Garbon,1995,9.337383511,0.030076961,1.151276289
Garbon,1996,9.347504159,0.052630255,1.136043184
Garbon,1997,9.378119194,0.075071329,1.159406542
Garbon,1998,9.387451712,0.052630255,1.151383331
Garbon,1999,9.26940519,0.00546997,1.041836253
Garbon,2000,9.226247185,-0.033604375,0.972598364
Garbon,2001,9.223530005,-0.020410997,0.939916074
Garbon,2002,9.197226763,-0.033604375,0.866274315
Garbon,2003,9.195190185,-0.020410997,0.844455642
Garbon,2004,9.176746359,0.00546997,0.800532312
Garbon,2005,9.176369852,-0.007556819,0.732802705
Garbon,2006,9.119820301,0.02960593,0.663401356
Garbon,2007,9.148934007,0.064196607,0.662928901
Garbon,2008,9.084552634,0.116744922,0.576049233
Garbon,2009,9.053212765,0.13653796,0.539766276
Garbon,2010,9.087124731,0.116744922,0.516535903
Garbon,2011,9.119070121,0.106748587,0.527355777
Garbon,2012,9.132363695,0.216215778,0.539719734
Garbon,2013,9.149426208,0.244903128,0.541897143
Garbon,2014,9.155605372,0.1926312,0.524291075
Garbon,2015,9.16031049,0.218481888,0.52924459
Garbon,2016,9.150575505,0.219127465,0.541171745
Garbon,2017,9.127392365,0.210231592,0.537499863
Nigeria,1980,7.630456407,1.183249209,-0.174686192
Nigeria,1981,7.46262841,1.286496918,-0.312278649
Nigeria,1982,7.366166981,1.283550444,-0.436804143
Nigeria,1983,7.225146628,1.286420606,-0.585580421
Nigeria,1984,7.188639297,1.321702504,-0.639565226
Nigeria,1985,7.220461616,1.357181782,-0.604501058
Nigeria,1986,7.195037271,1.348831554,-0.598069428
Nigeria,1987,7.200283092,1.374500094,-0.55659276
Nigeria,1988,7.244748808,1.408063512,-0.526174836
Nigeria,1989,7.2376344,1.447928344,-0.53786762
Nigeria,1990,7.323177319,1.434488933,-0.468861241
Nigeria,1991,7.301296243,1.482894199,-0.467443267
Nigeria,1992,7.321353887,1.492537847,-0.424385268
Nigeria,1993,7.275760789,1.499637994,-0.394601964
Nigeria,1994,7.232509123,1.465490198,-0.423737049
Nigeria,1995,7.206881615,1.522165972,-0.46335611
Nigeria,1996,7.223098724,1.5320925,-0.476858287
Nigeria,1997,7.227154018,1.532699126,-0.487603634
Nigeria,1998,7.227727856,1.51167372,-0.503896077
Nigeria,1999,7.208585534,1.512960972,-0.497788877
Nigeria,2000,7.232494668,1.507816468,-0.488228846
Nigeria,2001,7.264870126,1.567573165,-0.469719863
Nigeria,2002,7.382273701,1.58013583,-0.390750003
Nigeria,2003,7.427798292,1.602915556,-0.361693157
Nigeria,2004,7.490674562,1.605300844,-0.332419703
Nigeria,2005,7.527218244,1.65283859,-0.342289756
Nigeria,2006,7.559934621,1.6277003,-0.343964915
Nigeria,2007,7.597446495,1.571903696,-0.367289376
Nigeria,2008,7.636399904,1.63282245,-0.347940296
Nigeria,2009,7.687075569,1.436810568,-0.376819337
Nigeria,2010,7.737376394,1.509040339,-0.351845216
Nigeria,2011,7.762315278,1.519324037,-0.341020302
Nigeria,2012,7.776933439,1.678866505,-0.310018911
Nigeria,2013,7.814746908,1.716461061,-0.284011001
