Country,Year,lnrgdp,lnec2,residual
Egypt,2010,7.880358289,3.38799117,-0.320682497
Egypt,2011,7.876710565,3.401563914,-0.345449906
Egypt,2012,7.876581533,3.404293332,-0.351357705
Egypt,2013,7.875522089,3.371811642,-0.284240393
Egypt,2014,7.881669428,3.359204554,-0.286371395
Egypt,2015,7.902391279,3.378799417,-0.302395287
Egypt,2016,7.923489455,3.370004164,-0.239273798
Egypt,2017,7.943541357,3.369400216,-0.200970308
Garbon,1980,9.408121807,3.772665804,0.496225811
Garbon,1981,9.432844519,3.817772701,0.491545797
Garbon,1982,9.375879386,3.819520428,0.456372448
Garbon,1983,9.404434855,3.820599758,0.515933768
Garbon,1984,9.450340254,3.771204813,0.590479227
Garbon,1985,9.399784006,3.702492447,0.648718439
Garbon,1986,9.364358472,3.68844489,0.661575077
Garbon,1987,9.148631976,3.648362542,0.538802282
Garbon,1988,9.241715969,3.662393287,0.586860885
Garbon,1989,9.296006928,3.612940842,0.699135644
Garbon,1990,9.319102396,3.563144109,0.796759917
Garbon,1991,9.351114845,3.565541407,0.841350119
Garbon,1992,9.292635311,3.585332774,0.769730541
Garbon,1993,9.304574519,3.600163937,0.826933573
Garbon,1994,9.314696784,3.52671507,0.910865643
Garbon,1995,9.337383511,3.559894674,0.881580228
Garbon,1996,9.347504159,3.567377692,0.839655706
Garbon,1997,9.378119194,3.56092097,0.861719822
Garbon,1998,9.387451712,3.579381497,0.828379428
Garbon,1999,9.26940519,3.553651308,0.773396315
Garbon,2000,9.226247185,3.543882917,0.716123882
Garbon,2001,9.223530005,3.567405584,0.696323109
Garbon,2002,9.197226763,3.64963172,0.528653829
Garbon,2003,9.195190185,3.718402908,0.457705532
Garbon,2004,9.176746359,3.780191251,0.340946505
Garbon,2005,9.176369852,3.838947954,0.240994051
Garbon,2006,9.119820301,3.883716665,0.152089095
Garbon,2007,9.148934007,3.922995719,0.096677046
Garbon,2008,9.084552634,3.954807174,-0.01755208
Garbon,2009,9.053212765,3.983397396,-0.07214252
Garbon,2010,9.087124731,4.024247155,-0.119575133
Garbon,2011,9.119070121,3.897662749,0.112781394
Garbon,2012,9.132363695,3.818289218,0.250067202
Garbon,2013,9.149426208,3.988616971,0.014748139
Garbon,2014,9.155605372,3.949430152,0.054660585
Garbon,2015,9.16031049,3.923927491,0.093900602
Garbon,2016,9.150575505,3.954702308,0.063644922
Garbon,2017,9.127392365,3.942866207,0.076466786
Nigeria,1980,7.630456407,3.250224238,-0.455674307
Nigeria,1981,7.46262841,3.258658352,-0.59494044
Nigeria,1982,7.366166981,3.269930242,-0.684663871
Nigeria,1983,7.225146628,3.271214366,-0.795002068
Nigeria,1984,7.188639297,3.259698997,-0.862741371
Nigeria,1985,7.220461616,3.263415776,-0.836604288
Nigeria,1986,7.195037271,3.255062201,-0.822746304
Nigeria,1987,7.200283092,3.259035006,-0.794179863
Nigeria,1988,7.244748808,3.260509346,-0.774893025
Nigeria,1989,7.2376344,3.264607219,-0.808664665
Nigeria,1990,7.323177319,3.273830104,-0.741878687
Nigeria,1991,7.301296243,3.284516256,-0.76428328
Nigeria,1992,7.321353887,3.291289501,-0.736789382
Nigeria,1993,7.275760789,3.286742309,-0.706489446
Nigeria,1994,7.232509123,3.26186191,-0.752698083
Nigeria,1995,7.206881615,3.26300579,-0.779662426
Nigeria,1996,7.223098724,3.271365646,-0.816876408
Nigeria,1997,7.227154018,3.275575881,-0.838232104
Nigeria,1998,7.227727856,3.266538187,-0.836867801
