id,Year,lnec,lnperinc,es,open
1,1980,6.368101419,8.20044201,49.15343753,64.68
1,1981,6.420825202,8.199131633,49.15329837,65.46
1,1982,6.65398498,8.229951022,49.15309069,59.92
1,1983,6.700337428,8.251306531,49.15392352,53.74
1,1984,6.660549541,8.274917788,49.15288089,53.18
1,1985,6.673348535,8.281022656,49.15246767,50.33
1,1986,6.765730779,8.255542672,49.156422,36.03
1,1987,6.72449328,8.219851279,49.14975299,32.68
1,1988,6.750926015,8.182042082,49.15122802,38.11
1,1989,6.715698488,8.198350635,49.16828498,47.15
1,1990,6.758396433,8.180654153,49.12974597,48.38
1,1991,6.789962243,8.143976469,49.1556531,52.72
1,1992,6.789804729,8.138313537,49.21945588,49.19
1,1993,6.771144865,8.094875879,49.01412894,44.92
1,1994,6.713660691,8.065123778,49.23337449,48.58
1,1995,6.737014406,8.083322436,49.4108642,55.19
1,1996,6.687233288,8.105971546,48.39814815,53.71
1,1997,6.69550221,8.100759144,49.89111111,52.24
1,1998,6.714813527,8.135493437,49.94333333,45.09
1,1999,6.765961273,8.152828759,45.36,49.59
1,2000,6.768044835,8.176728998,54.37,61.96
1,2001,6.7569789,8.193273047,50.1,58.71
1,2002,6.811574721,8.235098149,49.18,61.13
1,2003,6.859677861,8.291882293,50.83,62.12
1,2004,6.858848608,8.320820579,52.3,65.7
1,2005,6.885458544,8.364319363,57.33,71.28
1,2006,6.939176424,8.366314486,58.89,70.73
1,2007,6.983029713,8.383972608,57.68,71.94
1,2008,6.978409436,8.390938119,58.62,76.68
1,2009,7.050694776,8.389907397,47.9,71.32
1,2010,7.015909888,8.407554649,50.49,69.87
1,2011,7.039344787,8.417229199,49.63,67.47
1,2012,7.114403528,8.430905189,47.86,65.4
1,2013,7.128888812,8.438178122,44.25,63.61
1,2014,7.191082884,8.455032641,42.31,62.15
1,2015,7.145348594,8.471524052,35.73,59.73
1,2016,7.160826928,8.48347714,34.74,56.27
1,2017,7.165933587,8.478901327,37.24,60.37
2,1980,6.304521926,8.064491811,62.87777138,100.03
