"","Years","LnRgdp_Algeria","LnEnergy_Algeria","res_Algeria","LnRgdp_Angola","LnEnergy_Angola","res_Angola","LnRgdp_Egypt","LnEnergy_Egypt","res_Egypt","LnRgdp_Gabon","LnEnergy_Gabon","res_Gabon","LnRgdp_Nigeria","LnEnergy_Nigeria","res_Nigeria","LnRgdp_Rcongo","LnEnery_RCongo","res_Congo"
"1",1980,8.200738461,3.18405070968965,-0.0742088908725119,8.064491811,3.1522609629455,-0.0658964527724728,7.005163257,2.92687650061625,0.0205167656723753,9.408121807,3.77266580419339,0.159030786187254,7.630456407,3.2502242379973,0.159818719299421,7.75209878,2.9269482232506,-0.199260927514066
"2",1981,8.199425725,3.21041260113334,-0.0713967759843136,7.984258282,3.13793625776298,-0.0805417671956394,7.051188734,2.99092170603196,0.0470788921877713,9.432844519,3.81777270149281,0.17292475816241,7.46262841,3.2586583524453,0.193714359679004,7.885178739,2.92753596110121,-0.261779466849231
"3",1982,8.230244184,3.32699249018801,0.0152960304292766,7.948727862,3.11332761966643,-0.11550867742774,7.120323104,3.02369790971439,0.0386902919391266,9.375879386,3.81952042821657,0.170623203267511,7.366166981,3.26993024220259,0.212562117961538,8.06783889,2.94223189905687,-0.321662966169713
"4",1983,8.251601324,3.3501687140647,0.0134008732944601,7.954196695,3.10920044833044,-0.140030741772231,7.144241421,3.06281193377228,0.0519790904434712,9.404434855,3.82059975815331,0.144512430593878,7.225146628,3.27121436595338,0.23656827242009,8.095674918,2.98444328604737,-0.306429924979668
"5",1984,8.275213346,3.33027477065858,0.0087451771668094,7.976825465,3.09651855424702,-0.137184982904069,7.211039995,3.10136896292585,0.093063044497402,9.450340254,3.77120481317438,0.103794007337191,7.188639297,3.25969899698707,0.25798639246274,8.134382523,2.95367448661519,-0.326403638560074
"6",1985,8.281316416,3.33667426769461,0.0145915819226569,7.975746835,3.10822320384792,-0.123919598484518,7.240800221,3.12771184646098,0.111889702032739,9.399784006,3.70249244724073,0.0512053807634979,7.220461616,3.26341577625866,0.253579999180978,8.094158641,2.95964849940296,-0.307347065415354
"7",1986,8.255838817,3.38286538947636,0.0615133600411431,7.969015241,3.09629370652646,-0.14063604858183,7.260241462,3.12768304544718,0.0993703616443135,9.364358472,3.68844489032295,0.0408165076105574,7.195037271,3.25506220149124,0.245941406223605,7.995208874,2.93763387635274,-0.307005586937791
"8",1987,8.220144724,3.36224664005556,0.0471326444966131,7.973889141,3.09064973718923,-0.151982572336485,7.270765115,3.14586789616882,0.110189736774841,9.148631976,3.64836254228055,0.0599620666123227,7.200283092,3.25903500586074,0.24410218673413,7.969572178,2.9319576130805,-0.30940406228142
"9",1988,8.18233565,3.37546300747456,0.077979503951049,7.998550427,3.09314546252021,-0.150243580813808,7.297226497,3.14436589236908,0.107401167552374,9.241715969,3.66239328673083,0.0530968661716501,7.244748808,3.26050934605648,0.23899065227594,7.959758024,2.90474646453916,-0.327224609137206
"10",1989,8.198644956,3.35784924410001,0.065496267152752,7.964621535,3.086986793163,-0.136484853587789,7.319580121,3.16361112139566,0.129997867613708,9.296006928,3.612940841904,-0.00240438947397794,7.2376344,3.26460721890592,0.255113475223715,7.958150239,2.90984854962628,-0.311718366928407
"11",1990,8.180948129,3.37919821664547,0.0926961689368642,7.895726468,3.10383202209388,-0.098719251258146,7.350432674,3.17677615762329,0.134724041655165,9.319102396,3.56314410886933,-0.058356801537485,7.323177319,3.27383010367721,0.239800198047495,7.940754692,2.9056603087809,-0.310144355843892
