Country,Year,lnrgdp,lnenr
Garbon,2006,9.119820301,0.05921186
Garbon,2007,9.148934007,0.128393215
Garbon,2008,9.084552634,0.233489843
Garbon,2009,9.053212765,0.27307592
Garbon,2010,9.087124731,0.233489843
Garbon,2011,9.119070121,0.213497174
Garbon,2012,9.132363695,0.432431556
Garbon,2013,9.149426208,0.489806257
Garbon,2014,9.155605372,0.385262401
Garbon,2015,9.16031049,0.436963775
Garbon,2016,9.150575505,0.438254931
Garbon,2017,9.127392365,0.420463184
Nigeria,1980,7.630456407,2.366498419
Nigeria,1981,7.46262841,2.572993837
Nigeria,1982,7.366166981,2.567100887
Nigeria,1983,7.225146628,2.572841212
Nigeria,1984,7.188639297,2.643405008
Nigeria,1985,7.220461616,2.714363563
Nigeria,1986,7.195037271,2.697663108
Nigeria,1987,7.200283092,2.749000187
Nigeria,1988,7.244748808,2.816127024
Nigeria,1989,7.2376344,2.895856688
Nigeria,1990,7.323177319,2.868977865
Nigeria,1991,7.301296243,2.965788397
Nigeria,1992,7.321353887,2.985075693
Nigeria,1993,7.275760789,2.999275987
Nigeria,1994,7.232509123,2.930980396
Nigeria,1995,7.206881615,3.044331943
Nigeria,1996,7.223098724,3.064184999
Nigeria,1997,7.227154018,3.065398252
Nigeria,1998,7.227727856,3.023347441
Nigeria,1999,7.208585534,3.025921945
Nigeria,2000,7.232494668,3.015632935
Nigeria,2001,7.264870126,3.135146329
Nigeria,2002,7.382273701,3.160271661
Nigeria,2003,7.427798292,3.205831111
Nigeria,2004,7.490674562,3.210601688
Nigeria,2005,7.527218244,3.30567718
Nigeria,2006,7.559934621,3.2554006
Nigeria,2007,7.597446495,3.143807392
Nigeria,2008,7.636399904,3.2656449
Nigeria,2009,7.687075569,2.873621135
Nigeria,2010,7.737376394,3.018080677
Nigeria,2011,7.762315278,3.038648075
Nigeria,2012,7.776933439,3.35773301
Nigeria,2013,7.814746908,3.432922121
Nigeria,2014,7.849284816,3.29048926
Nigeria,2015,7.84899225,3.36207533
Nigeria,2016,7.806415503,3.363530128
Nigeria,2017,7.788364946,3.339274696
Rep. of Congo,1980,7.75209878,-1.241328591
Rep. of Congo,1981,7.885178739,-1.064210862
Rep. of Congo,1982,8.06783889,-1.136314156
Rep. of Congo,1983,8.095674918,-1.287354413
Rep. of Congo,1984,8.134382523,-1.194022473
Rep. of Congo,1985,8.094158641,-0.830113036
Rep. of Congo,1986,7.995208874,-0.980829253
Rep. of Congo,1987,7.969572178,-0.761426021
Rep. of Congo,1988,7.959758024,-0.939047719
Rep. of Congo,1989,7.958150239,-0.834710745
Rep. of Congo,1990,7.940754692,-0.733969175
Rep. of Congo,1991,7.936985335,-0.832409248
Rep. of Congo,1992,7.935225961,-0.884307686
Rep. of Congo,1993,7.897686731,-0.946749939
Rep. of Congo,1994,7.813272181,-1.013352445
Rep. of Congo,1995,7.824186001,-0.946749939
Rep. of Congo,1996,7.837696419,-0.944175935
Rep. of Congo,1997,7.802605803,-0.944175935
Rep. of Congo,1998,7.810299965,-1.081755172
Rep. of Congo,1999,7.755158848,-1.139434283
Rep. of Congo,2000,7.799322898,-1.123930097
Rep. of Congo,2001,7.808107668,-0.916290732
Rep. of Congo,2002,7.824581867,-0.972861083
Rep. of Congo,2003,7.803941258,-0.84629836
Rep. of Congo,2004,7.808176758,-0.789658081
Rep. of Congo,2005,7.851380983,-0.384192973
Rep. of Congo,2006,7.878655401,-0.348140041
Rep. of Congo,2007,7.828332809,-0.124430078
Rep. of Congo,2008,7.848227273,0.008959741
Rep. of Congo,2009,7.887426362,0.211880359
Rep. of Congo,2010,7.940832995,0.609765572
Rep. of Congo,2011,7.946522017,0.664747706
Rep. of Congo,2012,7.957908849,0.739553553
Rep. of Congo,2013,7.967086053,0.955895986
Rep. of Congo,2014,8.008279073,0.794349061
Rep. of Congo,2015,8.009562459,0.834212621
Rep. of Congo,2016,7.955768769,0.863733481
Rep. of Congo,2017,7.898570753,0.831168478
