Country,Year,lnrgdp,lnec2
Garbon,2006,9.119820301,0.02960593
Garbon,2007,9.148934007,0.064196607
Garbon,2008,9.084552634,0.116744922
Garbon,2009,9.053212765,0.13653796
Garbon,2010,9.087124731,0.116744922
Garbon,2011,9.119070121,0.106748587
Garbon,2012,9.132363695,0.216215778
Garbon,2013,9.149426208,0.244903128
Garbon,2014,9.155605372,0.1926312
Garbon,2015,9.16031049,0.218481888
Garbon,2016,9.150575505,0.219127465
Garbon,2017,9.127392365,0.210231592
Nigeria,1980,7.630456407,1.183249209
Nigeria,1981,7.46262841,1.286496918
Nigeria,1982,7.366166981,1.283550444
Nigeria,1983,7.225146628,1.286420606
Nigeria,1984,7.188639297,1.321702504
Nigeria,1985,7.220461616,1.357181782
Nigeria,1986,7.195037271,1.348831554
Nigeria,1987,7.200283092,1.374500094
Nigeria,1988,7.244748808,1.408063512
Nigeria,1989,7.2376344,1.447928344
Nigeria,1990,7.323177319,1.434488933
Nigeria,1991,7.301296243,1.482894199
Nigeria,1992,7.321353887,1.492537847
Nigeria,1993,7.275760789,1.499637994
Nigeria,1994,7.232509123,1.465490198
Nigeria,1995,7.206881615,1.522165972
Nigeria,1996,7.223098724,1.5320925
Nigeria,1997,7.227154018,1.532699126
Nigeria,1998,7.227727856,1.51167372
Nigeria,1999,7.208585534,1.512960972
Nigeria,2000,7.232494668,1.507816468
Nigeria,2001,7.264870126,1.567573165
Nigeria,2002,7.382273701,1.58013583
Nigeria,2003,7.427798292,1.602915556
Nigeria,2004,7.490674562,1.605300844
Nigeria,2005,7.527218244,1.65283859
Nigeria,2006,7.559934621,1.6277003
Nigeria,2007,7.597446495,1.571903696
Nigeria,2008,7.636399904,1.63282245
Nigeria,2009,7.687075569,1.436810568
Nigeria,2010,7.737376394,1.509040339
Nigeria,2011,7.762315278,1.519324037
Nigeria,2012,7.776933439,1.678866505
Nigeria,2013,7.814746908,1.716461061
Nigeria,2014,7.849284816,1.64524463
Nigeria,2015,7.84899225,1.681037665
Nigeria,2016,7.806415503,1.681765064
Nigeria,2017,7.788364946,1.669637348
Rep. of Congo,1980,7.75209878,-0.620664295
Rep. of Congo,1981,7.885178739,-0.532105431
Rep. of Congo,1982,8.06783889,-0.568157078
Rep. of Congo,1983,8.095674918,-0.643677207
